config,event_id,event_size,card,coin,kind,start_hour_utc,event_kinds,event_first_hour_utc,event_last_hour_utc
none/none/none,E0001,1,C267,ZROUSDT,calm,2025-09-02T14:00Z,calm,2025-09-02T14:00Z,2025-09-02T14:00Z
none/none/none,E0002,1,C135,KOMAUSDT,calm,2025-09-03T01:00Z,calm,2025-09-03T01:00Z,2025-09-03T01:00Z
none/none/none,E0003,1,C215,NILUSDT,calm,2025-09-03T10:00Z,calm,2025-09-03T10:00Z,2025-09-03T10:00Z
none/none/none,E0004,1,C095,FHEUSDT,calm,2025-09-06T07:00Z,calm,2025-09-06T07:00Z,2025-09-06T07:00Z
none/none/none,E0005,1,C216,NILUSDT,calm,2025-09-07T09:00Z,calm,2025-09-07T09:00Z,2025-09-07T09:00Z
none/none/none,E0006,1,C175,NEWTUSDT,large,2025-09-08T07:00Z,large,2025-09-08T07:00Z,2025-09-08T07:00Z
none/none/none,E0007,1,C217,NILUSDT,calm,2025-09-09T15:00Z,calm,2025-09-09T15:00Z,2025-09-09T15:00Z
none/none/none,E0008,1,C265,OMNIUSDT,large,2025-09-09T19:00Z,large,2025-09-09T19:00Z,2025-09-09T19:00Z
none/none/none,E0009,1,C176,NEWTUSDT,calm,2025-09-13T11:00Z,calm,2025-09-13T11:00Z,2025-09-13T11:00Z
none/none/none,E0010,1,C177,NEWTUSDT,calm,2025-09-13T14:00Z,calm,2025-09-13T14:00Z,2025-09-13T14:00Z
none/none/none,E0011,1,C055,FARTCOINUSDT,calm,2025-09-15T22:00Z,calm,2025-09-15T22:00Z,2025-09-15T22:00Z
none/none/none,E0012,1,C218,NILUSDT,calm,2025-09-16T05:00Z,calm,2025-09-16T05:00Z,2025-09-16T05:00Z
none/none/none,E0013,1,C096,FHEUSDT,calm,2025-09-17T17:00Z,calm,2025-09-17T17:00Z,2025-09-17T17:00Z
none/none/none,E0014,1,C268,ZROUSDT,calm,2025-09-18T14:00Z,calm,2025-09-18T14:00Z,2025-09-18T14:00Z
none/none/none,E0015,1,C015,BCHUSDT,calm,2025-09-19T08:00Z,calm,2025-09-19T08:00Z,2025-09-19T08:00Z
none/none/none,E0016,1,C097,FHEUSDT,calm,2025-09-19T21:00Z,calm,2025-09-19T21:00Z,2025-09-19T21:00Z
none/none/none,E0017,1,C266,OMNIUSDT,calm,2025-09-21T00:00Z,calm,2025-09-21T00:00Z,2025-09-21T00:00Z
none/none/none,E0018,1,C136,KOMAUSDT,large,2025-09-21T07:00Z,large,2025-09-21T07:00Z,2025-09-21T07:00Z
none/none/none,E0019,1,C056,FARTCOINUSDT,large,2025-09-21T08:00Z,large,2025-09-21T08:00Z,2025-09-21T08:00Z
none/none/none,E0020,1,C016,BCHUSDT,calm,2025-09-21T09:00Z,calm,2025-09-21T09:00Z,2025-09-21T09:00Z
none/none/none,E0021,1,C178,NEWTUSDT,large,2025-09-21T16:00Z,large,2025-09-21T16:00Z,2025-09-21T16:00Z
none/none/none,E0022,1,C269,ZROUSDT,large,2025-09-23T12:00Z,large,2025-09-23T12:00Z,2025-09-23T12:00Z
none/none/none,E0023,1,C137,KOMAUSDT,calm,2025-09-28T17:00Z,calm,2025-09-28T17:00Z,2025-09-28T17:00Z
none/none/none,E0024,1,C098,FHEUSDT,calm,2025-09-29T18:00Z,calm,2025-09-29T18:00Z,2025-09-29T18:00Z
none/none/none,E0025,1,C179,NEWTUSDT,large,2025-09-30T19:00Z,large,2025-09-30T19:00Z,2025-09-30T19:00Z
none/none/none,E0026,1,C219,NILUSDT,large,2025-10-01T07:00Z,large,2025-10-01T07:00Z,2025-10-01T07:00Z
none/none/none,E0027,1,C270,ZROUSDT,large,2025-10-01T07:00Z,large,2025-10-01T07:00Z,2025-10-01T07:00Z
