config,predictor,representative_n,representative_shuffle_1pct_boundary,shuffles,seed,observed_accuracy,card_shuffle_1pct_boundary,card_shuffle_max,block_shuffle_1pct_boundary,block_shuffle_max
none/none/none,synthetic-iid,306,0.565359,1000,20260913,0.486928,0.571895,0.578431,0.558824,0.604575
none/none/none,synthetic-event-constant,306,0.565359,1000,20260913,0.486928,0.571895,0.578431,0.558824,0.604575
start-hour/component/any,synthetic-iid,289,0.574394,1000,20260913,0.486928,0.571895,0.578431,0.571895,0.611111
start-hour/component/any,synthetic-event-constant,289,0.574394,1000,20260913,0.506536,0.565359,0.598039,0.565359,0.591503
start-hour/component/cross-coin,synthetic-iid,289,0.574394,1000,20260913,0.486928,0.571895,0.578431,0.571895,0.611111
start-hour/component/cross-coin,synthetic-event-constant,289,0.574394,1000,20260913,0.506536,0.565359,0.598039,0.565359,0.591503
move-window/component/any,synthetic-iid,131,0.603053,1000,20260913,0.486928,0.571895,0.578431,0.565359,0.598039
move-window/component/any,synthetic-event-constant,131,0.603053,1000,20260913,0.51634,0.562092,0.588235,0.581699,0.601307
move-window/component/cross-coin,synthetic-iid,136,0.588235,1000,20260913,0.486928,0.571895,0.578431,0.565359,0.598039
move-window/component/cross-coin,synthetic-event-constant,136,0.588235,1000,20260913,0.571895,0.565359,0.584967,0.578431,0.611111
move-window/greedy-clique/any,synthetic-iid,161,0.590062,1000,20260913,0.486928,0.571895,0.578431,0.565359,0.591503
move-window/greedy-clique/any,synthetic-event-constant,161,0.590062,1000,20260913,0.539216,0.558824,0.584967,0.571895,0.611111
move-window/greedy-clique/cross-coin,synthetic-iid,168,0.589286,1000,20260913,0.486928,0.571895,0.578431,0.558824,0.591503
move-window/greedy-clique/cross-coin,synthetic-event-constant,168,0.589286,1000,20260913,0.48366,0.562092,0.581699,0.575163,0.588235
card-span/component/any,synthetic-iid,58,0.655172,1000,20260913,0.486928,0.571895,0.578431,0.565359,0.584967
card-span/component/any,synthetic-event-constant,58,0.655172,1000,20260913,0.437908,0.568627,0.594771,0.581699,0.614379
card-span/component/cross-coin,synthetic-iid,62,0.66129,1000,20260913,0.486928,0.571895,0.578431,0.565359,0.584967
card-span/component/cross-coin,synthetic-event-constant,62,0.66129,1000,20260913,0.441176,0.565359,0.591503,0.578431,0.617647
card-span/greedy-clique/any,synthetic-iid,116,0.612069,1000,20260913,0.486928,0.571895,0.578431,0.558824,0.598039
card-span/greedy-clique/any,synthetic-event-constant,116,0.612069,1000,20260913,0.54902,0.562092,0.581699,0.581699,0.607843
card-span/greedy-clique/cross-coin,synthetic-iid,125,0.6,1000,20260913,0.486928,0.571895,0.578431,0.565359,0.598039
card-span/greedy-clique/cross-coin,synthetic-event-constant,125,0.6,1000,20260913,0.486928,0.565359,0.591503,0.571895,0.598039
