card_set,test,family,features_used,feature_names,cards,nn_same_coin_accuracy,nn_chance_1pct,nn_beats_chance,pair_auc,auc_chance_1pct,auc_beats_chance
blinded-rank,T1+T2,price-level,1,price:log_median_close,306,0.153595,0.179739,no,0.503476,0.512978,no
blinded-rank,T1+T2,volatility-frozen,3,volatility:max_abs_chg volatility:mean_abs_chg volatility:sd_chg,306,0.160131,0.176471,no,0.542629,0.513267,YES
blinded-rank,T1+T2,volume-level,2,p7:log_avg_vol volume:log_median_vol,306,0.183007,0.179739,YES,0.527862,0.512206,YES
blinded-rank,T1+T2,trades-level,2,p7:log_avg_trades trades:log_median_trades,306,0.196078,0.179739,YES,0.529441,0.513128,YES
blinded-rank,T1+T2,openint-level,1,openint:log_median_oi,306,0.130719,0.153595,no,0.513841,0.511796,YES
blinded-rank,T1+T2,depth-level,2,depth:log_median_depth_ask depth:log_median_depth_bid,306,0.147059,0.147059,no,0.504425,0.510421,no
blinded-rank,T1+T2,ratio-level,3,ratio:log_median_ls_acct ratio:log_median_taker_ls ratio:log_median_top_ls,306,0.127451,0.176471,no,0.489869,0.513598,no
blinded-rank,T1+T2,taker-buy,2,takerbuy:mean takerbuy:sd,306,0.166667,0.179739,no,0.563111,0.513622,YES
blinded-rank,T1+T2,funding-line,4,funding:all_equal funding:count_matches funding:interval_changed funding:rel_spread,306,0.153595,0.173203,no,0.592679,0.5112,YES
blinded-rank,T1+T2,wikipedia-presence,0,,306,,,no features left after blinding,,,no features left after blinding
blinded-rank,T1+T2,p7-shape,2,p7:price_pct p7:range_pct,306,0.150327,0.179739,no,0.5239,0.513163,YES
blinded-rank,T1+T2,btc-eth,0,,306,,,no features left after blinding,,,no features left after blinding
blinded-rank,T1+T2,shape-scale-free,13,shape:acf1_log_depth_ask shape:acf1_log_ls_acct shape:acf1_log_taker_ls shape:acf1_log_top_ls shape:acf1_log_trades shape:acf1_log_vol shape:sd_log_depth_ask shape:sd_log_depth_bid shape:sd_log_ls_acct shape:sd_log_taker_ls shape:sd_log_top_ls shape:sd_log_trades shape:sd_log_vol,306,0.147059,0.173203,no,0.512016,0.512623,no
blinded-rank,T1+T2,ALL,35,depth:log_median_depth_ask depth:log_median_depth_bid funding:all_equal funding:count_matches funding:interval_changed funding:rel_spread openint:log_median_oi p7:log_avg_trades p7:log_avg_vol p7:price_pct p7:range_pct price:log_median_close ratio:log_median_ls_acct ratio:log_median_taker_ls ratio:log_median_top_ls shape:acf1_log_depth_ask shape:acf1_log_ls_acct shape:acf1_log_taker_ls shape:acf1_log_top_ls shape:acf1_log_trades shape:acf1_log_vol shape:sd_log_depth_ask shape:sd_log_depth_bid shape:sd_log_ls_acct shape:sd_log_taker_ls shape:sd_log_top_ls shape:sd_log_trades shape:sd_log_vol takerbuy:mean takerbuy:sd trades:log_median_trades volatility:max_abs_chg volatility:mean_abs_chg volatility:sd_chg volume:log_median_vol,306,0.29085,0.169935,YES,0.536044,0.51469,YES
blinded-rank,T1+T2,ALL-except-frozen-volatility,32,depth:log_median_depth_ask depth:log_median_depth_bid funding:all_equal funding:count_matches funding:interval_changed funding:rel_spread openint:log_median_oi p7:log_avg_trades p7:log_avg_vol p7:price_pct p7:range_pct price:log_median_close ratio:log_median_ls_acct ratio:log_median_taker_ls ratio:log_median_top_ls shape:acf1_log_depth_ask shape:acf1_log_ls_acct shape:acf1_log_taker_ls shape:acf1_log_top_ls shape:acf1_log_trades shape:acf1_log_vol shape:sd_log_depth_ask shape:sd_log_depth_bid shape:sd_log_ls_acct shape:sd_log_taker_ls shape:sd_log_top_ls shape:sd_log_trades shape:sd_log_vol takerbuy:mean takerbuy:sd trades:log_median_trades volume:log_median_vol,306,0.287582,0.169935,YES,0.532986,0.514298,YES
blinded-rank,T1+T2,ALL-removable,26,depth:log_median_depth_ask depth:log_median_depth_bid openint:log_median_oi p7:log_avg_trades p7:log_avg_vol price:log_median_close ratio:log_median_ls_acct ratio:log_median_taker_ls ratio:log_median_top_ls shape:acf1_log_depth_ask shape:acf1_log_ls_acct shape:acf1_log_taker_ls shape:acf1_log_top_ls shape:acf1_log_trades shape:acf1_log_vol shape:sd_log_depth_ask shape:sd_log_depth_bid shape:sd_log_ls_acct shape:sd_log_taker_ls shape:sd_log_top_ls shape:sd_log_trades shape:sd_log_vol takerbuy:mean takerbuy:sd trades:log_median_trades volume:log_median_vol,306,0.232026,0.169935,YES,0.520307,0.513273,YES
